MATRIU DE (FILES: 47934  COLUMNES: 47934 )
VALORS (FILA::COL::VALOR)
( 0 :: 2 :: 7 ) 
( 5 :: 9 :: 9 ) 
( 8 :: 1 :: 8 ) 
( 18 :: 59 :: 1 ) 
( 18 :: 118 :: 1 ) 
( 18 :: 128 :: 1 ) 
( 18 :: 136 :: 1 ) 
( 18 :: 790 :: 1 ) 
( 4365 :: 63 :: 1 ) 
( 4365 :: 125 :: 1 ) 
( 4365 :: 34969 :: 1 ) 
( 4393 :: 63 :: 1 ) 
( 4396 :: 63 :: 1 ) 
( 4396 :: 125 :: 1 ) 
( 9455 :: 47081 :: 1 ) 
( 9455 :: 47082 :: 1 ) 
( 10317 :: 7881 :: 1 ) 
( 10317 :: 8306 :: 1 ) 
( 10317 :: 47933 :: 1 ) 
( 11734 :: 398 :: 1 ) 
( 11734 :: 566 :: 1 ) 
( 34891 :: 16385 :: 1 ) 
( 34930 :: 16385 :: 1 ) 
( 34954 :: 4364 :: 1 ) 
( 34954 :: 8701 :: 1 ) 
( 34957 :: 2239 :: 1 ) 
( 34962 :: 14557 :: 1 ) 
( 34966 :: 4364 :: 1 ) 
( 34966 :: 4369 :: 1 ) 
( 34968 :: 4364 :: 1 ) 
( 34969 :: 25294 :: 1 ) 
